item-id,rating
0005019281,G10
0005119367,G10
0307142493,G10
0375810331,G10
0510539610,G10
0738920762,G10
0764005529,G10
0767001311,G10
076700941X,G10
0767015525,G8
0767020294,G10
0767023765,G10
0767087372,G10
0767088247,G10
076780192X,G10
0767802799,G10
0767803434,G10
0767804325,G10
0767805534,G10
0767805712,G10
0767808673,G10
0767809254,G10
0767811089,G10
0767815335,G10
0767815963,G10
0767817486,G10
0767817648,G10
0767817664,G10
0767817737,G10
0767818105,G10
0767819454,G10
0767819462,G10
0767821408,G9
0767821807,G10
0767824555,G10
0767824571,G10
0767826728,G8
0767827686,G10
0767827759,G8
0767830555,G10
0767834739,G10
0767835069,G10
0767836359,G10
0767837398,G10
0767839129,G9
0767839277,G10
076785344X,G9
0767853636,G10
0780020715,G10
0780020855,G10
0780021932,G10
0780022319,G10
0780022386,G10
078060718X,G8
0780615573,G10
0780621832,G10
0780621956,G10
0780622383,G10
0780622537,G10
0780623614,G10
078062582X,G10
0780626699,G10
0780626702,G10
0780630866,G10
0780630874,G9
0780635299,G10
0780662504,G10
0782006752,G10
0782008372,G10
0782010040,G10
078201061X,G10
0782010792,G10
0783110901,G10
0783112750,G10
0783114222,G10
0783114729,G10
0783114907,G10
0783116640,G10
0783116926,G10
0783211201,G10
0783211694,G10
0783217048,G10
0783218923,G10
0783222726,G10
078322561X,G10
0783225857,G10
0783225911,G10
0783226535,G10
0783226608,G10
0783226799,G10
0783226853,G10
078322687X,G10
0783226896,G10
0783226985,G10
0783227272,G10
0783227361,G10
078322740X,G10
0783227892,G10
0783227922,G10
0783227930,G10
0783228686,G10
078322947X,G10
0783229569,G10
0783229747,G10
078322995X,G10
0783230346,G10
0783230427,G9
0783230486,G10
0783231032,G10
0783234287,G10
0783235380,G9
0783235410,G9
0783239408,G10
0783239955,G10
0783240066,G10
0783240473,G10
0783241313,G10
0783241569,G10
0783243499,G9
0783245130,G10
078400949X,G10
0784010331,G10
0784011370,G10
0784011532,G10
0784011648,G10
0784011680,G10
0784013470,G10
0788802194,G10
0788812467,G10
0788814664,G10
0788815474,G10
0788821075,G10
0788832182,G10
0788832492,G10
078885383X,G10
0788857746,G10
078885996X,G10
0788860119,G10
0788861956,G10
078887148X,G10
0790724960,G10
0790725657,G10
0790729342,G10
0790729377,G10
079072961X,G10
0790729628,G10
0790729644,G10
0790729687,G10
0790729709,G10
0790729733,G10
0790729989,G10
079073124X,G10
0790731266,G10
0790731517,G10
0790731797,G10
0790732149,G10
0790732181,G10
0790732300,G10
0790732521,G10
0790732548,G10
0790733226,G10
0790733919,G10
0790733927,G10
0790734419,G10
079073463X,G10
0790734966,G10
0790736527,G10
0790737647,G10
0790737744,G10
0790737868,G10
0790740281,G10
0790740443,G10
0790741067,G10
0790741296,G10
0790741644,G10
0790743213,G10
0790743442,G10
0790744236,G10
0790744546,G10
0790744813,G10
079074676X,G10
0790747693,G10
0790748193,G10
0790748266,G10
0790750414,G10
0790751445,G10
0790751569,G10
079075181X,G10
0790785366,G10
079079568X,G10
0792102320,G10
0792110188,G10
0792143817,G10
0792145496,G10
0792146433,G10
0792151712,G10
0792153189,G10
0792153456,G10
0792153685,G10
0792157850,G10
0792158202,G10
0792160347,G10
0792165039,G10
0792166523,G10
0792171306,G10
0792199405,G10
0792833201,G10
0792834917,G10
0792834976,G10
0792836030,G10
0792836529,G10
0792836685,G10
0792838653,G10
0792838661,G10
0792838947,G10
0792838955,G10
0792839072,G10
0792839129,G10
079283948X,G9
0792839684,G9
0792840984,G10
0792841409,G10
0792841840,G10
0792841905,G9
079284209X,G10
0792842111,G10
0792842162,G10
0792843800,G10
0792843991,G10
0792844041,G10
0792844645,G10
0792844718,G10
079284565X,G10
0792845765,G10
0792846133,G10
0792899229,G10
0793906091,G10
079396041X,G10
0793961009,G9
0800112652,G10
0800114051,G10
0800129784,G10
0800141660,G10
0800141709,G10
0800141741,G10
0800177029,G10
0849922372,G10
0874934648,G10
093085280X,G9
0967418518,G10
0967501032,G10
1401926339,G10
140498822X,G10
1415723427,G10
1421367912,G10
1424819210,G10
1558804641,G10
1558908382,G10
1559408677,G10
1559408758,G10
1559409002,G10
1560689994,G10
1562550888,G10
1563311976,G9
1563452685,G9
156371616X,G10
1566053986,G10
1568392273,G10
1569388431,G8
1569388997,G10
1571323368,G10
1572521783,G10
1572522232,G10
1572522550,G9
1572524421,G10
1572525959,G9
1572528338,G9
1573305588,G10
1573306983,G10
1573471917,G7
1573623008,G10
157362389X,G10
1573623903,G10
1573624071,G9
157362408X,G10
1573624101,G10
1573624160,G8
1573628042,G8
1574928228,G10
1582704708,G9
1586171941,G10
1586174576,G10
1586683950,G10
1592180418,G10
1896306993,G7
1897020600,G10
1921643870,G10
1936488191,G10
1936488264,G10
3918810143,G8
5554452574,G10
5554454828,G10
5558279494,G10
5559203726,G10
6300145786,G10
6300147355,G9
6300147444,G10
6300147630,G10
6300147789,G8
6300147967,G10
630015002X,G10
6300157601,G10
630015761X,G10
6300157717,G10
6300158411,G10
6300159140,G9
6300160270,G10
6300164063,G10
6300165086,G10
6300180204,G10
6300181065,G10
6300181316,G10
6300181375,G9
6300181510,G10
6300181545,G10
6300181847,G10
6300181987,G10
6300182304,G10
6300182738,G10
630018286X,G10
6300183416,G10
6300183432,G10
6300183459,G10
6300183505,G10
6300183513,G10
6300183785,G10
6300184242,G10
6300184250,G10
6300184269,G10
6300185117,G10
6300185125,G10
6300185370,G10
6300185443,G10
6300185788,G10
6300185974,G10
6300186180,G10
630018675X,G9
6300198731,G10
6300208117,G9
6300208591,G10
6300209296,G10
6300213501,G10
6300213714,G10
6300213730,G10
6300213749,G10
6300213781,G10
6300213803,G10
6300213900,G10
6300213927,G10
6300213986,G10
6300214028,G10
6300214044,G10
6300214052,G10
6300214087,G9
6300214117,G10
6300214184,G10
6300214192,G10
6300214222,G10
6300214265,G9
6300214311,G9
6300214338,G10
6300214346,G8
6300214508,G10
6300214559,G10
6300214567,G10
6300214575,G10
6300214613,G10
6300214621,G10
6300214648,G10
6300214664,G10
6300214672,G10
6300214680,G10
6300214710,G10
6300214958,G10
6300215520,G10
6300215555,G10
6300215598,G10
6300215601,G10
6300215628,G10
6300215695,G10
6300215806,G9
6300215849,G10
6300215857,G10
6300215881,G9
6300215954,G10
6300215962,G10
6300215989,G10
6300216047,G10
6300216055,G10
6300216179,G10
6300216209,G10
6300216225,G10
6300216241,G10
6300216497,G10
6300216527,G9
6300216543,G10
6300216586,G10
6300216632,G10
6300216721,G10
6300216748,G10
6300216934,G10
6300216950,G10
6300216977,G10
6300217728,G10
6300218031,G10
6300246787,G10
6300246795,G10
6300246817,G10
6300246868,G10
6300246876,G10
6300246973,G10
6300247031,G10
6300247090,G10
6300247104,G10
6300247139,G10
6300247163,G10
6300247236,G10
6300247392,G10
6300247406,G10
6300247651,G10
6300247821,G10
6300247945,G9
6300248089,G10
6300248097,G10
