User_ID,Strategy,MAE,RMSE
A1R583OW6QK5CI,SVD,4.1580079889873165,4.262129589207611
A1R583OW6QK5CI,Hybrid,2.1679116727590007,2.2786161232817914
A1R583OW6QK5CI,Content-based,4.213425519399615,4.31688128293137
A1LQIGGUB7R6JS,SVD,3.1009428687122873,3.423869248641647
A1LQIGGUB7R6JS,Hybrid,1.374152412722112,1.7910210222677532
A1LQIGGUB7R6JS,Content-based,3.1240310952031387,3.4451191018819514
A9XXFVYDNTOPW,SVD,3.246501808374461,3.442620913396338
A9XXFVYDNTOPW,Hybrid,1.4177965377638566,1.7518093957342098
A9XXFVYDNTOPW,Content-based,3.249748691122411,3.4457746703601577
A1VKS4ZTOJR3FX,SVD,4.775648941989633,4.7936772014185856
A1VKS4ZTOJR3FX,Hybrid,2.6175617111056835,2.6395540351542057
A1VKS4ZTOJR3FX,Content-based,4.777666752806915,4.795719219550895
A3QSM5XHPL1T6Y,SVD,3.476449524957662,3.854825733575194
A3QSM5XHPL1T6Y,Hybrid,1.9064941940416613,2.2349328637449735
A3QSM5XHPL1T6Y,Content-based,3.481106546049667,3.858337019596086
A2GZTI0EIOCQNZ,SVD,3.798019773735233,3.9761554886404795
A2GZTI0EIOCQNZ,Hybrid,1.8102556555774292,2.0539055488599365
A2GZTI0EIOCQNZ,Content-based,3.832092688635489,4.00920258059703
A36Q4WV6CNHBFW,SVD,3.8397634563285465,4.076531013581734
A36Q4WV6CNHBFW,Hybrid,2.1749161178602696,2.380987858142809
A36Q4WV6CNHBFW,Content-based,3.873242285586711,4.1063549614025
AY3QKK2Q72O86,SVD,4.602026417473232,4.632720626286037
AY3QKK2Q72O86,Hybrid,2.5825751025929997,2.6243085201393974
AY3QKK2Q72O86,Content-based,4.609606853982989,4.640597193157933
A2OF8EMCWMNMM6,SVD,2.643405925112569,3.1686425086575096
A2OF8EMCWMNMM6,Hybrid,1.475458552666894,1.8113612388197982
A2OF8EMCWMNMM6,Content-based,2.646682590695134,3.171262400290373
A22L4Z84Y9AA3U,SVD,4.529435681086768,4.608318719668396
A22L4Z84Y9AA3U,Hybrid,2.3103826912459002,2.43850301925348
A22L4Z84Y9AA3U,Content-based,4.55911725670307,4.638078185282669
A2TRDBTC8AF943,SVD,4.921207331193613,4.935618230469408
A2TRDBTC8AF943,Hybrid,2.643822723179056,2.668121941609512
A2TRDBTC8AF943,Content-based,4.925791108933574,4.940248819794316
A2XCLJRGFANRC,SVD,4.877248121573524,4.887198619576373
